Candidato;Palavra;Quantidade;Percentual;Acumulado
Lula;ESCRITORES;10;0;0
Lula;RADUAN;13;0;0
Lula;NASSAR;13;0;0
Lula;PREMIO;36;0;0
Lula;CAMOES;5;0;0
Lula;JULIAN;4;0;0
Lula;FUKS;1;0;0
Lula;JABUTI;1;0;0
Lula;ENTREVISTA;314;0;0
Lula;MIDIA;51;0;0
Lula;INDEPENDENTE;16;0;0
Lula;PERNAMBUCO;63;0;0
Lula;COMERCIO;16;0;0
Lula;MAOS;16;0;0
Lula;VOCE;340;0;0
Lula;COMPRAR;65;0;0
Lula;VENDER;66;0;0
Lula;EQUILIBRIO;4;0;0
Lula;INTEGRACAO;23;0;0
Lula;EXTREMAMENTE;4;0;0
Lula;IMPORTANTE;146;0;0
Lula;FACA;35;0;0
Lula;CAMISETA;2;0;0
Lula;BRASILEIRO;404;0;0
Lula;DILMA;395;0;0
Lula;CONDENARAM;11;0;0
Lula;INOCENTE;37;0;0
Lula;CONSUMARAM;2;0;0
Lula;GOLPE;236;0;0
Lula;PARLAMENTAR;21;0;0
Lula;SONHAVA;5;0;0
Lula;ROYALTIES;14;0;0
Lula;PETROLEO;52;0;0
Lula;EDUCACAO;403;0;0
Lula;RETOMAR;37;0;0
Lula;INDUSTRIA;85;0;0
Lula;NAVAL;71;0;0
Lula;FIZEMOS;167;0;0
Lula;DESTRUIRAM;6;0;0
Lula;FEITO;81;0;0
Lula;DIZEM;57;0;0
Lula;ROUBAR;12;0;0
Lula;VOCACAO;2;0;0
Lula;GETULIO;24;0;0
Lula;TIRO;8;0;0
Lula;JANGO;8;0;0
Lula;SAIR;64;0;0
Lula;QUISEREM;36;0;0
Lula;URNA;27;0;0
Lula;VENDENDO;33;0;0
Lula;INVESTIMENTO;101;0;0
Lula;ATENDER;14;0;0
Lula;INTERESSES;26;0;0
Lula;MERCADO;84;0;0
Lula;ESTRANGEIROS;24;0;0
Lula;ESTAVAM;23;0;0
Lula;EFETIVAMENTE;3;0;0
Lula;TENTANDO;36;0;0
Lula;CONDENAR;41;0;0
Lula;PARCELA;8;0;0
Lula;RECONHECEM;8;0;0
Lula;POSSIBILIDADE;21;0;0
Lula;RESPEITADO;61;0;0
Lula;AUTO;8;0;0
Lula;ESTIMA;8;0;0
Lula;SORTE;15;0;0
Lula;ENCONTRAR;35;0;0
Lula;PERMITIR;52;0;0
Lula;TUCANOS;18;0;0
Lula;CONTINUASSEM;1;0;0
Lula;GOVERNAR;159;0;0
Lula;ESTADO;281;0;0
Lula;DIFICIL;34;0;0
Lula;ESCREVER;9;0;0
Lula;FUTEBOL;11;0;0
Lula;COPA;20;0;0
Lula;MUNDO;382;0;0
Lula;ACABAMOS;6;0;0
Lula;SOFRER;8;0;0
Lula;ELIMINACAO;1;0;0
Lula;IMPOSTA;4;0;0
Lula;BELGICA;10;0;0
Lula;COMPETENCIA;19;0;0
Lula;JOGANDO;9;0;0
Lula;MELHOR;306;0;0
Lula;ORGULHO;142;0;0
Lula;UNIVERSITARIO;27;0;0
Lula;UNIVERSIDADES;122;0;0
Lula;CRISTIANO;48;0;0
Lula;ZANIN;81;0;0
Lula;ADVOGADO;78;0;0
Lula;EXPLICA;23;0;0
Lula;ABSURDOS;4;0;0
Lula;ACUSACOES;28;0;0
Lula;ENFRENTAMOS;6;0;0
Lula;FOME;170;0;0
Lula;POBREZA;32;0;0
Lula;SISTEMA;30;0;0
Lula;SOCIAL;136;0;0
Lula;SEMPRE;198;0;0
Lula;PRECISOU;12;0;0
Lula;TRANSFORMADO;3;0;0
Lula;TODO;301;0;0
Lula;PERDER;52;0;0
Lula;REFORMA;101;0;0
Lula;PREVIDENCIA;80;0;0
Lula;JEITO;88;0;0
Lula;INSERIR;3;0;0
Lula;ECONOMIA;178;0;0
Lula;EMPREGO;172;0;0
Lula;FINANCIAMENTO;13;0;0
Lula;CREDITO;34;0;0
Lula;SENAO;12;0;0
Lula;CRESCIMENTO;31;0;0
Lula;ECONOMICO;20;0;0
Lula;LULAVIDEO;9;0;0
Lula;TRABALHAR;75;0;0
Lula;INSTANTES;39;0;0
Lula;DISCURSO;106;0;0
Lula;RECEBIMENTO;1;0;0
Lula;FILIADOS;2;0;0
Lula;DISTRITO;8;0;0
Lula;FEDERAL;245;0;0
Lula;ACREDITAMOS;15;0;0
Lula;VIOLENCIA;64;0;0
Lula;TRABALHO;140;0;0
Lula;VAMOS;476;0;0
Lula;CRISE;105;0;0
Lula;JORNAIS;26;0;0
Lula;MOSTRAVAM;2;0;0
Lula;SECA;41;0;0
Lula;CONSTRUIMOS;17;0;0
Lula;MILHAO;25;0;0
Lula;CISTERNAS;15;0;0
Lula;PROVAMOS;43;0;0
Lula;VENCER;46;0;0
Lula;PRACA;86;0;0
Lula;OCUPADA;1;0;0
Lula;APOIADORES;11;0;0
Lula;VINDOS;2;0;0
Lula;INTEIRO;34;0;0
Lula;GOVERNO;652;0;0
Lula;LEVANDO;15;0;0
Lula;PASSADO;32;0;0
Lula;FIZERAM;124;0;0
Lula;CARNAVAL;7;0;0
Lula;ENCONTRARAM;22;0;0
Lula;DINHEIRO;143;0;0
Lula;GEDDEL;1;0;0
Lula;OURO;35;0;0
Lula;PEDIRAM;5;0;0
Lula;DESCULPAS;64;0;0
Lula;DONA;59;0;0
Lula;MARISA;94;0;0
Lula;REVIRAREM;1;0;0
Lula;ENCONTRADO;4;0;0
Lula;ESTAVAMOS;13;0;0
Lula;ERRAVA;1;0;0
Lula;APOSTAVA;1;0;0
Lula;DESGRACA;28;0;0
Lula;MALABARISMOS;2;0;0
Lula;TENTAR;47;0;0
Lula;PINTAR;2;0;0
Lula;REAL;39;0;0
Lula;COMPLEXIDADES;1;0;0
Lula;HISTORICAMENTE;4;0;0
Lula;MARCADO;9;0;0
Lula;DESIGUALDADE;20;0;0
Lula;MISSAO;12;0;0
Lula;SOCIEDADE;135;0;0
Lula;CONFIOU;2;0;0
Lula;APRENDER;29;0;0
Lula;DISPUTAR;44;0;0
Lula;VOTO;120;0;0
Lula;PLANTAMOS;1;0;0
Lula;PACIENCIA;10;0;0
Lula;ESTAMOS;196;0;0
Lula;COLHENDO;9;0;0
Lula;POLITICO;182;0;0
Lula;OBAMA;10;0;0
Lula;DIZIA;43;0;0
Lula;CARA;91;0;0
Lula;ONU;122;0;0
Lula;RESTAURA;2;0;0
Lula;PLENITUDE;2;0;0
Lula;FELIZ;122;0;0
Lula;VALESKA;12;0;0
Lula;TEIXEIRA;11;0;0
Lula;ADVOGADA;7;0;0
Lula;PRESSUPOSTO;2;0;0
Lula;JULGADA;3;0;0
Lula;IMPARCIAL;12;0;0
Lula;MOSTRAMOS;8;0;0
Lula;MAGISTRADO;4;0;0
Lula;PERDEU;26;0;0
Lula;POBRE;357;0;0
Lula;TRATADO;41;0;0
Lula;TERCEIRA;9;0;0
Lula;CATEGORIA;9;0;0
Lula;IDEAL;11;0;0
Lula;ALIANCAS;8;0;0
Lula;PROGRAMATICAS;3;0;0
Lula;COMPOE;1;0;0
Lula;PENSA;20;0;0
Lula;DIFERENTE;34;0;0
Lula;LUIZ;109;0;0
Lula;HENRIQUE;13;0;0
Lula;COORDENACAO;7;0;0
Lula;VIVIA;13;0;0
Lula;LIXO;15;0;0
Lula;MORAVA;4;0;0
Lula;VERGONHA;55;0;0
Lula;CATADOR;10;0;0
Lula;ESPERAVAM;3;0;0
Lula;CAPACIDADE;43;0;0
Lula;RESISTENCIA;73;0;0
Lula;GOVERNADOR;191;0;0
Lula;TRATAR;21;0;0
Lula;CIDADAO;81;0;0
Lula;ZONA;38;0;0
Lula;LESTE;19;0;0
Lula;MERECE;28;0;0
Lula;LEMBRA;93;0;0
Lula;DESMATAMENTO;4;0;0
Lula;AMAZONIA;26;0;0
Lula;CAINDO;4;0;0
Lula;FERNANDO;279;0;0
Lula;CONVERSA;39;0;0
Lula;JORNALISTAS;22;0;0
Lula;MOSSORO;11;0;0
Lula;PASSAR;62;0;0
Lula;HISTORIA;265;0;0
Lula;HOMENAGEM;51;0;0
Lula;PROPOSTA;39;0;0
Lula;REITORA;1;0;0
Lula;MARIA;51;0;0
Lula;VIOLETA;1;0;0
Lula;ARRAES;4;0;0
Lula;ALENCAR;24;0;0
Lula;REPUBLICA;125;0;0
Lula;GOVERNANDO;14;0;0
Lula;DUZIA;10;0;0
Lula;PESSOAS;477;0;0
Lula;TRIBUTARIA;9;0;0
Lula;PLANO;72;0;0
Lula;ISENTAR;5;0;0
Lula;IMPOSTO;43;0;0
Lula;RENDA;65;0;0
Lula;FISICAS;3;0;0
Lula;IRPF;2;0;0
Lula;TODOS;465;0;0
Lula;GANHAM;6;0;0
Lula;SALARIOS;27;0;0
Lula;MINIMOS;17;0;0
Lula;ENCHENDO;2;0;0
Lula;SACO;5;0;0
Lula;COMECE;4;0;0
Lula;MANHA;40;0;0
Lula;OUTRA;87;0;0
Lula;ALTAMENTE;1;0;0
Lula;INDUSTRIALIZADO;2;0;0
Lula;DEPENDE;10;0;0
Lula;DESENVOLVIMENTO;98;0;0
Lula;CIENCIA;23;0;0
Lula;TECNOLOGIA;26;0;0
Lula;PARADINHA;3;0;0
Lula;CARAVANA;239;0;0
Lula;CAMINHO;72;0;0
Lula;DIAMANTINA;21;0;0
Lula;JOGAR;28;0;0
Lula;COSTAS;16;0;0
Lula;PROBLEMAS;34;0;0
Lula;COME;10;0;0
Lula;PRODUZIDO;4;0;0
Lula;PEQUENA;12;0;0
Lula;PROPRIEDADE;11;0;0
Lula;RURAL;34;0;0
Lula;DAI;10;0;0
Lula;IMPORTANCIA;73;0;0
Lula;FORTALECER;19;0;0
Lula;PEQUENO;28;0;0
Lula;PRODUTOR;12;0;0
Lula;SEGUINTE;18;0;0
Lula;INVESTIGUEM;4;0;0
Lula;SANTO;36;0;0
Lula;DECENCIA;6;0;0
Lula;PEDIR;93;0;0
Lula;AGRADECER;65;0;0
Lula;COMPANHEIROS;58;0;0
Lula;COMIGO;95;0;0
Lula;MST;47;0;0
Lula;LEVANTE;4;0;0
Lula;POPULAR;69;0;0
Lula;BEIJO;8;0;0
Lula;CORACAO;71;0;0
Lula;CARREGO;1;0;0
Lula;ALMA;25;0;0
Lula;SINDICATO;58;0;0
Lula;RESPONSAVEL;17;0;0
Lula;ROMARIA;1;0;0
Lula;LIBERTACAO;55;0;0
Lula;MULTIDAO;35;0;0
Lula;APARECIDA;10;0;0
Lula;NORTE;64;0;0
Lula;DOMINGO;80;0;0
Lula;PERSEGUIDO;15;0;0
Lula;CRIME;124;0;0
Lula;COMETEU;20;0;0
Lula;ENCARCERADO;4;0;0
Lula;CONVIDA;9;0;0
Lula;RUAS;85;0;0
Lula;DEIXOU;43;0;0
Lula;PROBLEMA;145;0;0
Lula;VIROU;31;0;0
Lula;SOLUCAO;51;0;0
Lula;ESTRADAFOTO;1;0;0
Lula;PARTICIPA;100;0;0
Lula;VIRADA;21;0;0
Lula;TUCA;9;0;0
Lula;BEMVINDO;2;0;0
